Airport,ESSA,ESPA,ESMS,ESGG,ESNZ,ESNX,ESNG,ESOH,ESQO,ESKV
ESSA,0,689.1885844,531.4185054,393.8622697,433.6997964,663.9496615,843.975814,245.8569773,116.2953765,296.4210671
ESPA,689.1885844,0,1208.57229,1016.617284,449.6878743,130.7168277,186.0204398,750.9651625,754.3173267,811.2393081
ESMS,531.4185054,1208.57229,0,245.7864853,853.8861393,1162.375744,1346.821487,498.7194076,454.3604847,462.3821552
ESGG,393.8622697,1016.617284,245.7864853,0,626.9433588,954.6424957,1138.658079,272.5539026,285.4223576,224.8091433
ESNZ,433.6997964,449.6878743,853.8861393,626.9433588,0,351.6391548,527.3810821,356.3028602,430.1564811,403.512923
ESNX,663.9496615,130.7168277,1162.375744,954.6424957,351.6391548,0,184.5754434,683.1903831,710.8025254,739.2128859
ESNG,843.975814,186.0204398,1346.821487,1138.658079,527.3810821,184.5754434,0,866.7971612,894.7051335,921.8557134
ESOH,245.8569773,750.9651625,498.7194076,272.5539026,356.3028602,683.1903831,866.7971612,0,149.215197,64.94767428
ESQO,116.2953765,754.3173267,454.3604847,285.4223576,430.1564811,710.8025254,894.7051335,149.215197,0,187.9551936
ESKV,296.4210671,811.2393081,462.3821552,224.8091433,403.512923,739.2128859,921.8557134,64.94767428,187.9551936,0
